YEAR,MO,DY,Date,UV
2013,1,8,8/1/2013,0
2013,1,8,8/1/2013,0
2013,1,8,8/1/2013,0
2013,1,8,8/1/2013,0
2013,1,8,8/1/2013,0
2013,1,8,8/1/2013,0
2013,1,8,8/1/2013,0
2013,1,8,8/1/2013,0
2013,1,8,8/1/2013,0
2013,1,9,9/1/2013,0
2013,1,9,9/1/2013,0
2013,1,9,9/1/2013,0
2013,1,9,9/1/2013,0
2013,1,9,9/1/2013,0
2013,1,9,9/1/2013,0
2013,1,9,9/1/2013,0
2013,1,9,9/1/2013,0
2013,1,9,9/1/2013,0.02
2013,1,9,9/1/2013,0.05
2013,1,9,9/1/2013,0.15
2013,1,9,9/1/2013,0.33
2013,1,9,9/1/2013,0.33
2013,1,9,9/1/2013,0.25
2013,1,9,9/1/2013,0.08
2013,1,9,9/1/2013,0.02
2013,1,9,9/1/2013,0
2013,1,9,9/1/2013,0
2013,1,9,9/1/2013,0
2013,1,9,9/1/2013,0
2013,1,9,9/1/2013,0
2013,1,9,9/1/2013,0
2013,1,9,9/1/2013,0
2013,1,9,9/1/2013,0
2013,1,10,10/1/2013,0
2013,1,10,10/1/2013,0
2013,1,10,10/1/2013,0
2013,1,10,10/1/2013,0
2013,1,10,10/1/2013,0
2013,1,10,10/1/2013,0
2013,1,10,10/1/2013,0
2013,1,10,10/1/2013,0
2013,1,10,10/1/2013,0.02
2013,1,10,10/1/2013,0.05
2013,1,10,10/1/2013,0.17
2013,1,10,10/1/2013,0.3
2013,1,10,10/1/2013,0.35
2013,1,10,10/1/2013,0.3
2013,1,10,10/1/2013,0.12
2013,1,10,10/1/2013,0.05
2013,1,10,10/1/2013,0
2013,1,10,10/1/2013,0
2013,1,10,10/1/2013,0
2013,1,10,10/1/2013,0
2013,1,10,10/1/2013,0
2013,1,10,10/1/2013,0
2013,1,10,10/1/2013,0
2013,1,10,10/1/2013,0
2013,1,11,11/1/2013,0
2013,1,11,11/1/2013,0
2013,1,11,11/1/2013,0
2013,1,11,11/1/2013,0
2013,1,11,11/1/2013,0
2013,1,11,11/1/2013,0
2013,1,11,11/1/2013,0
2013,1,11,11/1/2013,0
2013,1,11,11/1/2013,0.02
2013,1,11,11/1/2013,0.05
2013,1,11,11/1/2013,0.2
2013,1,11,11/1/2013,0.35
2013,1,11,11/1/2013,0.42
2013,1,11,11/1/2013,0.33
2013,1,11,11/1/2013,0.17
2013,1,11,11/1/2013,0.05
2013,1,11,11/1/2013,0
2013,1,11,11/1/2013,0
2013,1,11,11/1/2013,0
2013,1,11,11/1/2013,0
2013,1,11,11/1/2013,0
2013,1,11,11/1/2013,0
2013,1,11,11/1/2013,0
2013,1,11,11/1/2013,0
2013,1,12,12/1/2013,0
2013,1,12,12/1/2013,0
2013,1,12,12/1/2013,0
2013,1,12,12/1/2013,0
2013,1,12,12/1/2013,0
2013,1,12,12/1/2013,0
2013,1,12,12/1/2013,0
2013,1,12,12/1/2013,0
2013,1,12,12/1/2013,0.02
2013,1,12,12/1/2013,0.08
2013,1,12,12/1/2013,0.23
2013,1,12,12/1/2013,0.4
2013,1,12,12/1/2013,0.5
2013,1,12,12/1/2013,0.4
2013,1,12,12/1/2013,0.2
2013,1,12,12/1/2013,0.05
2013,1,12,12/1/2013,0
2013,1,12,12/1/2013,0
2013,1,12,12/1/2013,0
2013,1,12,12/1/2013,0
2013,1,12,12/1/2013,0
2013,1,12,12/1/2013,0
2013,1,12,12/1/2013,0
2013,1,12,12/1/2013,0
2013,1,13,13/1/2013,0
2013,1,13,13/1/2013,0
2013,1,13,13/1/2013,0
2013,1,13,13/1/2013,0
2013,1,13,13/1/2013,0
2013,1,13,13/1/2013,0
2013,1,13,13/1/2013,0
2013,1,13,13/1/2013,0
2013,1,13,13/1/2013,0.02
2013,1,13,13/1/2013,0.08
2013,1,13,13/1/2013,0.25
2013,1,13,13/1/2013,0.4
2013,1,13,13/1/2013,0.58
2013,1,13,13/1/2013,0.4
2013,1,13,13/1/2013,0.17
2013,1,13,13/1/2013,0.05
2013,1,13,13/1/2013,0
2013,1,13,13/1/2013,0
2013,1,13,13/1/2013,0
2013,1,13,13/1/2013,0
2013,1,13,13/1/2013,0
2013,1,13,13/1/2013,0
2013,1,13,13/1/2013,0
2013,1,13,13/1/2013,0
2013,1,14,14/1/2013,0
2013,1,14,14/1/2013,0
2013,1,14,14/1/2013,0
2013,1,14,14/1/2013,0
2013,1,14,14/1/2013,0
2013,1,14,14/1/2013,0
2013,1,14,14/1/2013,0
2013,1,14,14/1/2013,0
2013,1,14,14/1/2013,0.02
2013,1,14,14/1/2013,0.08
2013,1,14,14/1/2013,0.17
2013,1,14,14/1/2013,0.3
2013,1,14,14/1/2013,0.25
2013,1,14,14/1/2013,0.25
2013,1,14,14/1/2013,0.05
2013,1,14,14/1/2013,0
2013,1,14,14/1/2013,0
2013,1,14,14/1/2013,0
2013,1,14,14/1/2013,0
2013,1,14,14/1/2013,0
2013,1,14,14/1/2013,0
2013,1,14,14/1/2013,0
2013,1,14,14/1/2013,0
2013,1,14,14/1/2013,0
2013,1,15,15/1/2013,0
2013,1,15,15/1/2013,0
2013,1,15,15/1/2013,0
2013,1,15,15/1/2013,0
2013,1,15,15/1/2013,0
2013,1,15,15/1/2013,0
2013,1,15,15/1/2013,0
2013,1,15,15/1/2013,0
2013,1,15,15/1/2013,0.02
2013,1,15,15/1/2013,0.1
2013,1,15,15/1/2013,0.25
2013,1,15,15/1/2013,0.48
2013,1,15,15/1/2013,0.75
2013,1,15,15/1/2013,0.62
2013,1,15,15/1/2013,0.3
2013,1,15,15/1/2013,0.1
2013,1,15,15/1/2013,0.02
2013,1,15,15/1/2013,0
2013,1,15,15/1/2013,0
2013,1,15,15/1/2013,0
2013,1,15,15/1/2013,0
2013,1,15,15/1/2013,0
2013,1,15,15/1/2013,0
2013,1,15,15/1/2013,0
